Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
GAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,6.4,,,,,,,,5.4,,
GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,,,,,,2.4,,,,1.1,,,,,,,,,2.1,,,,
GHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.2,,,,,25.1,,,,22.2,20.1,,,,,19,,,13.9,,14.4,,,13.4,,,11.2,,,12.6,,,,,
GIB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.2,,,,,20,,,,,,22.7,,16.4,,,,,18.8,,,,18.3,,16.3,,,,
GMB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.2,,,,15.4,,,,,,15.8,,,,17.4,,17.9,16.5,,,,,13.9,,11.6,,
GNB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.8,,,,,,,,,,18,,17,,17,,,,,16.3,,,
GNQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.8,,,15.7,,,,10.6,,,,,,,5.6,,,,,,,,,,,
GRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,
GRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTM,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.5,,,,,,,,21.7,,,,20.3,18.8,,18.2,,,,,,,14.1,,,,,,12.4,,,,,,14.4,
GUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.2,,,,10.3,,,11.9,,,,,,10.8,,,11,,,,,8.2,,,,,9.4,,,
HIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.383130074,1.355588078,1.328587055,1.302116871,1.276167154,1.25072813,1.225789785,1.201342821,1.177377462,1.153884649,1.130855203,1.108280301,1.086151004,1.064458847,1.043195367,1.022352219,1.001921415,0.981894732,0.962264538,0.943022966,0.924162626,0.905676067,0.887555897
HKG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HND,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.1,,,,15,,,16.1,,18.2,,,,,12.8,,,,,8.7,,,,,,7.1,,,,,,,7.1,,,
HPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HRV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HTI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.7,,,,23.8,,,,,,13.9,,,,,,18.9,,,,,,11.6,,,,,9.5,,,,,
HUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IBT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDN,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.9,,31,,,29.8,,,,30.3,,25.8,22.8,24.7,23.4,23,23.1,19.7,24.4,,19.6,,,18.6,,,19.9,,,,,17.7,,,,
IDX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.5,,52.8,51.3,,,,,38.4,,45.3,,,,,,,43.5,,,,,,,,29.4,36.3,,33.4,,,31.5,,
INX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.8,,,9.5,,,,,,4.6,,,,,,4.1,,,,,,,4.3,,,,,
IRQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4,,,,,,,,,12.8,,,10.1,8,,7.1,,,,,7.2,,,,,,,3.9,,,,
ISL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8,,5.6,5.7,6.1,4.6,4.8,5.6,3.5,3.8,2.1,3.9,4,2.7,,3.1,,4.8,1.8,2.4,,3.4,,2.7,,2.2,,4.4,,2.5,,,,
JOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,,,,,,,3.8,,,,,3.7,,,,,,,1.9,,,3,,,,,,,2.7,,,
