Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.144609928,2.188319921,2.216130018,2.347790003,2.40982008,2.40437007,2.436219931,2.47461009,2.435189962,2.441930056,2.47232008,2.460479975,2.615129948,2.742660046,2.730240107,2.805550098,2.881659985,2.835989952,2.877840042,2.933789968,2.94039011,3.047100067,3.107880116,3.167700052,3.14425993,,
DJI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.80666995,1.88914001,2.006190062,2.127640009,2.186199903,2.324660063,2.441450119,2.510849953,2.419159889,2.393369913,2.403000116,2.515409946,2.773459911,3.055140018,2.917069912,2.944649935,2.981250048,2.970479965,2.914089918,3.054970026,3.092829943,2.931240082,2.966029882,2.888000011,2.961539984,,
DOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.230279997,0.366400003,0.196229994,0.163570002,0.066040002,,,,,,,,,,,,0.534319997,,,,,
EAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.461941438,0.563327886,0.627640791,0.69416758,0.728595041,0.797672538,0.909482875,1.003996764,1.105229771,1.177221266,1.247795661,1.245061083,1.344388489,1.400170276,1.684839444,1.614790816,1.880732543,1.708819238,1.941673422,1.90801384,1.903154161,1.902851184,1.912163689,2.02707766,2.246036225,,
EAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.61131842,0.625967428,0.645987158,0.619066297,0.627356632,0.616653284,0.639698316,0.657608419,0.689103267,0.622145328,0.727237388,0.719794492,0.708550713,0.623149773,,0.720994629,0.735614935,0.708935182,0.721317939,,,,
EAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.185547373,2.260923446,2.229427497,2.299475768,2.234769595,2.28046207,2.246577197,2.329190173,2.31492154,2.396890961,2.397483234,2.348980795,2.352111194,2.24867208,2.398584394,2.329267789,2.483715723,2.277598037,2.475012423,2.32393802,2.339505873,2.317090328,2.355806794,2.392705247,2.633714987,,
ECA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.794878354,0.846794335,0.659962352,0.689204422,0.71895264,0.842774155,0.870775166,0.862762879,0.816276309,0.805636003,0.813717498,0.875086558,0.839245114,0.964177816,0.902789038,0.845477582,0.863399161,0.850216011,0.874311001,0.872152879,0.892525392,0.911115051,0.863282114,0.891341685,0.921736815,,
ECS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.651708007,1.636284454,1.604646632,1.697499567,1.682350956,1.71904521,1.695226573,1.719267889,1.694608192,1.649329839,1.656923621,1.657678503,1.720074021,1.810781646,1.774241512,1.780369396,1.823995677,1.805307652,1.843045027,1.905021478,1.885395918,1.947252104,1.941349483,2.006823629,2.109715654,,
ECU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07406,0.062629998,0.065169998,,,0.0515,0.055339999,0.057349999,,,0.128629997,0.131940007,0.227789998,0.394630015,0.402969986,0.339910001,0.332359999,0.379900008,0.442660004,,,,,,,,
