Date,Open,High,Low,Close,Adj Close,Volume
3/14/2014,184.850006,185.800003,184.440002,184.660004,155.29213,153919600
3/17/2014,185.589996,186.770004,185.509995,186.330002,156.696487,98359500
3/18/2014,186.710007,187.910004,186.509995,187.660004,157.815018,101804600
3/19/2014,187.679993,187.940002,185.470001,186.660004,156.974014,176267300
3/20/2014,186.25,187.889999,185.919998,187.75,157.890701,117241000
3/21/2014,187.710007,189.020004,186.029999,186.199997,157.278275,163128000
3/24/2014,186.839996,187.070007,184.619995,185.429993,156.627899,121411000
3/25/2014,186.369995,186.940002,185.270004,186.309998,157.371216,103852000
3/26/2014,187.039993,187.339996,184.919998,184.970001,156.239304,119843000
3/27/2014,184.75,185.339996,183.899994,184.580002,155.909897,142383000
3/28/2014,185.110001,186.419998,185,185.490005,156.678558,101642000
3/31/2014,186.669998,187.300003,185.520004,187.009995,157.962479,99745000
4/1/2014,187.619995,188.360001,187,188.25,159.009872,89193000
4/2/2014,188.490005,189.130005,188.139999,188.880005,159.542023,78774000
4/3/2014,189.169998,189.220001,188.050003,188.630005,159.330872,77435000
4/4/2014,189.660004,189.699997,186.100006,186.399994,157.44725,169381000
4/7/2014,185.949997,186.259995,183.960007,184.339996,155.707199,140803000
4/8/2014,184.259995,185.399994,183.589996,185.100006,156.349182,112660000
4/9/2014,185.600006,187.149994,185.059998,187.089996,158.030045,100254000
4/10/2014,187.080002,187.169998,182.929993,183.160004,154.710449,172959000
4/11/2014,182.139999,183.419998,181.309998,181.509995,153.316742,167251000
4/14/2014,182.929993,183.369995,181.440002,182.940002,154.524658,132382000
4/15/2014,183.320007,184.330002,181.509995,184.199997,155.588928,157093000
4/16/2014,185.470001,186.139999,184.649994,186.130005,157.219147,105197000
4/17/2014,185.880005,186.910004,185.559998,186.389999,157.438736,105255000
4/21/2014,186.440002,187.100006,186.210007,187.039993,157.987778,68329000
4/22/2014,187.229996,188.399994,187.130005,187.889999,158.705826,85790000
4/23/2014,187.820007,187.919998,187.300003,187.449997,158.334106,73869000
4/24/2014,188.369995,188.389999,186.929993,187.830002,158.655045,88170000
4/25/2014,187.220001,187.330002,185.869995,186.289993,157.354279,100380000
4/28/2014,187.050003,187.690002,184.960007,186.880005,157.852692,135121000
4/29/2014,187.479996,188.039993,187.080002,187.75,158.587555,84098000
4/30/2014,187.440002,188.5,187.179993,188.309998,159.060532,101508000
5/1/2014,188.220001,188.839996,187.729996,188.330002,159.077454,93019000
5/2/2014,188.309998,189.139999,187.779999,188.059998,158.849396,98122000
5/5/2014,187.139999,188.550003,186.619995,188.419998,159.153427,75883000
5/6/2014,188,188.130005,186.740005,186.779999,157.768143,85454000
5/7/2014,187.410004,187.970001,186.009995,187.880005,158.697327,106500000
